module,version,license,license_file
github.com/Azure/go-ntlmssp,v0.1.1,MIT,LICENSE
github.com/Calcium-Ion/go-epay,v0.0.4,UNKNOWN-no-license-file,NEEDS-UPSTREAM-CONFIRMATION
github.com/ClickHouse/ch-go,v0.65.0,Apache-2.0,LICENSE
github.com/ClickHouse/clickhouse-go/v2,v2.32.0,Apache-2.0,LICENSE
github.com/DmitriyVTitov/size,v1.5.0,MIT,LICENSE
github.com/QuantumNous/new-api,,Custom,LICENSE
github.com/QuantumNous/new-api/relaykit,v0.0.0,AGPL-3.0 (project submodule),-
github.com/abema/go-mp4,v1.4.1,MIT,LICENSE
github.com/andybalholm/brotli,v1.1.1,MIT,LICENSE
github.com/anknown/ahocorasick,v0.0.0-20190904063843-d75dbd5169c0,MIT,LICENSE
github.com/anknown/darts,v0.0.0-20151216065714-83ff685239e6,MIT,LICENSE
github.com/aws/aws-sdk-go-v2,v1.41.5,Apache-2.0,LICENSE.txt
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,v1.7.8,Apache-2.0,LICENSE.txt
github.com/aws/aws-sdk-go-v2/credentials,v1.19.10,Apache-2.0,LICENSE.txt
github.com/aws/aws-sdk-go-v2/internal/configsources,v1.4.21,Apache-2.0,LICENSE.txt
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.7.21,Apache-2.0,LICENSE.txt
github.com/aws/aws-sdk-go-v2/service/bedrockruntime,v1.50.4,Apache-2.0,LICENSE.txt
github.com/aws/smithy-go,v1.24.2,Apache-2.0,LICENSE
github.com/beorn7/perks,v1.0.1,MIT,LICENSE
github.com/bmatcuk/doublestar/v4,v4.6.1,MIT,LICENSE
github.com/boombuler/barcode,v1.1.0,MIT,LICENSE
github.com/bytedance/gopkg,v0.1.3,Apache-2.0,LICENSE
github.com/casbin/casbin/v2,v2.135.0,Apache-2.0,LICENSE
github.com/casbin/govaluate,v1.10.0,MIT,LICENSE
github.com/cespare/xxhash/v2,v2.3.0,MIT,LICENSE.txt
github.com/dgryski/go-rendezvous,v0.0.0-20200823014737-9f7001d12a5f,MIT,LICENSE
github.com/dlclark/regexp2,v1.11.5,MIT,LICENSE
github.com/dustin/go-humanize,v1.0.1,MIT,LICENSE
github.com/expr-lang/expr,v1.17.8,MIT,LICENSE
github.com/fxamacker/cbor/v2,v2.9.0,MIT,LICENSE
github.com/gabriel-vasile/mimetype,v1.4.3,MIT,LICENSE
github.com/gin-contrib/cors,v1.7.2,MIT,LICENSE
github.com/gin-contrib/gzip,v0.0.6,MIT,LICENSE
github.com/gin-contrib/sse,v0.1.0,MIT,LICENSE
github.com/gin-contrib/static,v0.0.1,MIT,LICENSE
github.com/gin-gonic/gin,v1.9.1,MIT,LICENSE
github.com/glebarez/go-sqlite,v1.21.2,Custom,LICENSE
github.com/glebarez/sqlite,v1.9.0,MIT,License
github.com/go-audio/aiff,v1.1.0,Apache-2.0,LICENSE
github.com/go-audio/audio,v1.0.0,Apache-2.0,LICENSE
github.com/go-audio/riff,v1.0.0,Apache-2.0,LICENSE
github.com/go-audio/wav,v1.1.0,Apache-2.0,LICENSE
github.com/go-faster/city,v1.0.1,MIT,LICENSE
github.com/go-faster/errors,v0.7.1,Custom,LICENSE
github.com/go-playground/locales,v0.14.1,MIT,LICENSE
github.com/go-playground/universal-translator,v0.18.1,MIT,LICENSE
github.com/go-playground/validator/v10,v10.20.0,MIT,LICENSE
github.com/go-redis/redis/v8,v8.11.5,Custom,LICENSE
github.com/go-sql-driver/mysql,v1.7.0,MPL-2.0,LICENSE
github.com/go-webauthn/webauthn,v0.14.0,Custom,LICENSE
github.com/go-webauthn/x,v0.1.25,Custom,LICENSE
github.com/golang-jwt/jwt/v5,v5.3.0,MIT,LICENSE
github.com/google/go-tpm,v0.9.5,Apache-2.0,LICENSE
github.com/google/uuid,v1.6.0,Custom,LICENSE
github.com/gorilla/websocket,v1.5.0,Custom,LICENSE
github.com/grafana/pyroscope-go,v1.2.7,Apache-2.0,LICENSE
github.com/grafana/pyroscope-go/godeltaprof,v0.1.9,Apache-2.0,LICENSE
github.com/hashicorp/go-version,v1.7.0,Custom,LICENSE
github.com/icza/bitio,v1.1.0,Apache-2.0,LICENSE
github.com/jackc/pgpassfile,v1.0.0,MIT,LICENSE
github.com/jackc/pgservicefile,v0.0.0-20240606120523-5a60cdf6a761,MIT,LICENSE
github.com/jackc/pgx/v5,v5.9.2,MIT,LICENSE
github.com/jackc/puddle/v2,v2.2.2,MIT,LICENSE
github.com/jfreymuth/oggvorbis,v1.0.5,MIT,LICENSE
github.com/jfreymuth/vorbis,v1.0.2,MIT,LICENSE
github.com/jinzhu/copier,v0.4.0,MIT,License
github.com/jinzhu/inflection,v1.0.0,MIT,LICENSE
github.com/jinzhu/now,v1.1.5,MIT,License
github.com/joho/godotenv,v1.5.1,MIT,LICENCE
github.com/klauspost/compress,v1.18.0,Apache-2.0,LICENSE
github.com/leodido/go-urn,v1.4.0,MIT,LICENSE
github.com/mattn/go-isatty,v0.0.20,MIT,LICENSE
github.com/mewkiz/flac,v1.0.13,Unlicense,LICENSE
github.com/mewkiz/pkg,v0.0.0-20250417130911-3f050ff8c56d,Unlicense,UNLICENSE
github.com/mewpkg/term,v0.0.0-20241026122259-37a80af23985,Unlicense,UNLICENSE
github.com/mitchellh/mapstructure,v1.5.0,MIT,LICENSE
github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,Custom,LICENSE
github.com/nicksnyder/go-i18n/v2,v2.6.1,MIT,LICENSE
github.com/paulmach/orb,v0.11.1,MIT,LICENSE.md
github.com/pelletier/go-toml/v2,v2.2.1,MIT,LICENSE
github.com/pierrec/lz4/v4,v4.1.22,Custom,LICENSE
github.com/pkg/errors,v0.9.1,Custom,LICENSE
github.com/pquerna/otp,v1.5.0,Apache-2.0,LICENSE
github.com/prometheus/client_golang,v1.22.0,Apache-2.0,LICENSE
github.com/prometheus/client_model,v0.6.1,Apache-2.0,LICENSE
github.com/prometheus/common,v0.62.0,Apache-2.0,LICENSE
github.com/prometheus/procfs,v0.15.1,Apache-2.0,LICENSE
github.com/remyoudompheng/bigfft,v0.0.0-20230129092748-24d4a6f8daec,Custom,LICENSE
github.com/samber/go-singleflightx,v0.3.2,MIT,LICENSE
github.com/samber/hot,v0.11.0,MIT,LICENSE
github.com/samber/lo,v1.53.0,MIT,LICENSE
github.com/segmentio/asm,v1.2.0,MIT,LICENSE
github.com/shirou/gopsutil,v3.21.11+incompatible,Custom,LICENSE
github.com/shopspring/decimal,v1.4.0,MIT,LICENSE
github.com/sony/gobreaker,v1.0.0,MIT,LICENSE
github.com/stripe/stripe-go/v81,v81.4.0,MIT,LICENSE
github.com/tcolgate/mp3,v0.0.0-20170426193717-e79c5a46d300,MIT,LICENSE
github.com/thanhpk/randstr,v1.0.6,MIT,LICENSE
github.com/tidwall/gjson,v1.19.0,MIT,LICENSE
github.com/tidwall/match,v1.1.1,MIT,LICENSE
github.com/tidwall/pretty,v1.2.0,MIT,LICENSE
github.com/tidwall/sjson,v1.2.5,MIT,LICENSE
github.com/tiktoken-go/tokenizer,v0.6.2,MIT,LICENSE
github.com/tklauser/go-sysconf,v0.3.12,Custom,LICENSE
github.com/tklauser/numcpus,v0.6.1,Apache-2.0,LICENSE
github.com/ugorji/go/codec,v1.2.12,MIT,LICENSE
github.com/waffo-com/waffo-go,v1.3.2,MIT,LICENSE
github.com/waffo-com/waffo-pancake-sdk-go,v0.3.1,MIT,LICENSE
github.com/x448/float16,v0.8.4,MIT,LICENSE
github.com/yapingcat/gomedia,v0.0.0-20240906162731-17feea57090c,MIT,LICENSE
go.opentelemetry.io/otel,v1.34.0,Apache-2.0,LICENSE
go.opentelemetry.io/otel/trace,v1.34.0,Apache-2.0,LICENSE
golang.org/x/crypto,v0.52.0,Custom,LICENSE
golang.org/x/exp,v0.0.0-20250620022241-b7579e27df2b,Custom,LICENSE
golang.org/x/image,v0.43.0,Custom,LICENSE
golang.org/x/net,v0.55.0,Custom,LICENSE
golang.org/x/sync,v0.21.0,Custom,LICENSE
golang.org/x/sys,v0.45.0,Custom,LICENSE
golang.org/x/text,v0.39.0,Custom,LICENSE
google.golang.org/protobuf,v1.36.5,Custom,LICENSE
gopkg.in/yaml.v3,v3.0.1,Apache-2.0,LICENSE
gorm.io/driver/clickhouse,v0.6.0,MIT,License
gorm.io/driver/mysql,v1.4.3,MIT,License
gorm.io/driver/postgres,v1.5.2,MIT,License
gorm.io/gorm,v1.25.2,MIT,LICENSE
modernc.org/libc,v1.66.10,Custom,LICENSE
modernc.org/mathutil,v1.7.1,Custom,LICENSE
modernc.org/memory,v1.11.0,Custom,LICENSE
modernc.org/sqlite,v1.40.1,Custom,LICENSE
